"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"06-baseline-ER-power-law-Tang"
"06/17/2026 16:24:51:169 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","power-law-lambda","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"136","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","15","1","15","0.0015666666666666672","0.14","5.979"
"138","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","21","1","21","0.00211904761904762","0.14","5.979"
"137","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","107","1","107","0.0016635514018691596","0.14","5.979"
"139","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","9","1","9","0.001444444444444445","0.14","5.979"
"141","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","22","1","22","0.0010909090909090914","0.14","5.979"
"140","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","14","1","14","0.002607142857142857","0.14","5.979"
"142","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","9","1","9","0.0018333333333333335","0.14","5.979"
"143","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","42","1","42","0.0030000000000000014","0.14","5.979"
"144","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.028","18","1","18","0.0010000000000000002","0.14","5.979"
"145","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","20","1","20","0.002750000000000001","0.15","5.979"
"147","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","10","1","10","0.00125","0.15","5.979"
"146","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","6","1","6","0.0018333333333333333","0.15","5.979"
"148","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","16","1","16","0.0013437500000000003","0.15","5.979"
"149","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","14","1","14","0.0012142857142857148","0.15","5.979"
"150","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","7","1","7","0.0015714285714285713","0.15","5.979"
"151","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","22","1","22","0.0032727272727272726","0.15","5.979"
"153","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","11","1","11","0.0012272727272727277","0.15","5.979"
"152","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","53","1","53","0.0024528301886792467","0.15","5.979"
"154","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","11","1","11","0.0023181818181818178","0.15","5.979"
"156","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","15","1","15","0.0026666666666666674","0.15","5.979"
"155","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","11","1","11","0.002818181818181818","0.15","5.979"
"157","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","20","1","20","0.0010500000000000004","0.15","5.979"
"158","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","13","1","13","0.0018076923076923083","0.15","5.979"
"159","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.03","20","1","20","0.002375000000000001","0.15","5.979"
