"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"05-baseline-empirical-threshold-ER"
"06/17/2026 15:47:41:073 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"163","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","85","1","85","0.003082352941176472","0.15","5.979"
"164","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","27","1","27","6.66666666666667E-4","0.15","5.979"
"165","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","12","1","12","0.0023333333333333335","0.15","5.979"
"166","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","28","1","28","0.0011071428571428575","0.15","5.979"
"167","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","20","1","20","0.0011250000000000006","0.15","5.979"
"168","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","30","1","30","0.0018833333333333345","0.15","5.979"
"169","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","23","1","23","0.0011956521739130439","0.16","5.979"
"171","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","6","1","6","8.333333333333335E-4","0.16","5.979"
"170","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","31","1","31","0.0017580645161290333","0.16","5.979"
"172","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","11","1","11","0.0013181818181818184","0.16","5.979"
"173","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","26","1","26","0.0019038461538461544","0.16","5.979"
"175","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","28","1","28","0.0022321428571428575","0.16","5.979"
"176","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","10","1","10","0.0010500000000000002","0.16","5.979"
"174","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","107","1","107","0.0032056074766355163","0.16","5.979"
"177","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","42","1","42","0.0017619047619047627","0.16","5.979"
"178","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","49","1","49","0.0013265306122448985","0.16","5.979"
"179","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","35","1","35","0.0013857142857142863","0.16","5.979"
"180","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","12","1","12","9.583333333333333E-4","0.16","5.979"
"181","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","30","1","30","0.0018500000000000007","0.16","5.979"
"182","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","23","1","23","0.0018260869565217392","0.16","5.979"
"183","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","8","1","8","0.0012500000000000002","0.16","5.979"
"185","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.032","7","1","7","0.0014999999999999998","0.16","5.979"
